[DEBUG] 2019-10-10 11:18:00.923 [http-nio-8080-exec-10] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-10-10 11:18:00.930 [http-nio-8080-exec-10] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-10-10 11:18:00.958 [http-nio-8080-exec-10] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-10-10 11:18:01.218 [http-nio-8080-exec-10] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-10-10 11:18:01.224 [http-nio-8080-exec-10] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-10-10 11:18:01.733 [http-nio-8080-exec-10] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-10-10 11:18:01.735 [http-nio-8080-exec-10] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-10-10 11:18:01.780 [http-nio-8080-exec-10] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-10-10 11:18:02.526 [http-nio-8080-exec-10] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-10-10 11:18:02.592 [http-nio-8080-exec-10] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-10-10 11:18:02.597 [http-nio-8080-exec-10] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-10-10 11:18:02.661 [http-nio-8080-exec-10] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-10-10 11:18:02.784 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6602013f
[DEBUG] 2019-10-10 11:18:02.785 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6602013f
[DEBUG] 2019-10-10 11:18:02.785 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6602013f
[DEBUG] 2019-10-10 11:18:02.786 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@7e63ce15
[DEBUG] 2019-10-10 11:18:02.788 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@8ce389d
[DEBUG] 2019-10-10 11:18:02.790 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@3b8409e1
[DEBUG] 2019-10-10 11:18:02.793 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4e23d7b6
[DEBUG] 2019-10-10 11:18:02.793 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4e23d7b6
[DEBUG] 2019-10-10 11:18:02.793 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@4e23d7b6
[DEBUG] 2019-10-10 11:18:02.796 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@34c3d67b
[DEBUG] 2019-10-10 11:18:02.796 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@34c3d67b
[DEBUG] 2019-10-10 11:18:02.796 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@34c3d67b
[DEBUG] 2019-10-10 11:18:02.798 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@760ba74d
[DEBUG] 2019-10-10 11:18:02.799 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@760ba74d
[DEBUG] 2019-10-10 11:18:02.799 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@760ba74d
[DEBUG] 2019-10-10 11:18:02.803 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@5d562430
[DEBUG] 2019-10-10 11:18:02.803 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@5d562430
[DEBUG] 2019-10-10 11:18:02.803 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@5d562430
[DEBUG] 2019-10-10 11:18:02.806 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5c9e0f45
[DEBUG] 2019-10-10 11:18:02.806 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5c9e0f45
[DEBUG] 2019-10-10 11:18:02.806 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@5c9e0f45
[DEBUG] 2019-10-10 11:18:02.809 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@2c8f1206
[DEBUG] 2019-10-10 11:18:02.809 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@2c8f1206
[DEBUG] 2019-10-10 11:18:02.809 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@2c8f1206
[DEBUG] 2019-10-10 11:18:02.813 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@43d08034
[DEBUG] 2019-10-10 11:18:02.813 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@43d08034
[DEBUG] 2019-10-10 11:18:02.813 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@43d08034
[DEBUG] 2019-10-10 11:18:02.817 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@650955ba
[DEBUG] 2019-10-10 11:18:02.818 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@650955ba
[DEBUG] 2019-10-10 11:18:02.820 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@71476590
[DEBUG] 2019-10-10 11:18:02.820 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@71476590
[DEBUG] 2019-10-10 11:18:02.823 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@4c64eb1b
[DEBUG] 2019-10-10 11:18:02.823 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@4c64eb1b
[DEBUG] 2019-10-10 11:18:02.824 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@64f7b603
[DEBUG] 2019-10-10 11:18:02.825 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@5d0fff3c
[DEBUG] 2019-10-10 11:18:02.828 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@170b87c1
[DEBUG] 2019-10-10 11:18:02.828 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@170b87c1
[DEBUG] 2019-10-10 11:18:02.830 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@b4fc673
[DEBUG] 2019-10-10 11:18:02.830 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@b4fc673
[DEBUG] 2019-10-10 11:18:02.843 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@4050aa62
[DEBUG] 2019-10-10 11:18:02.844 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@4050aa62
[DEBUG] 2019-10-10 11:18:02.847 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@3ba91ff6
[DEBUG] 2019-10-10 11:18:02.847 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@3ba91ff6
[DEBUG] 2019-10-10 11:18:02.851 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@2358c8f2
[DEBUG] 2019-10-10 11:18:02.852 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@2358c8f2
[DEBUG] 2019-10-10 11:18:02.855 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@28d071e9
[DEBUG] 2019-10-10 11:18:02.855 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@28d071e9
[DEBUG] 2019-10-10 11:18:02.859 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@2ee8bd03
[DEBUG] 2019-10-10 11:18:02.859 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@2ee8bd03
[DEBUG] 2019-10-10 11:18:02.862 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@2fc1e51c
[DEBUG] 2019-10-10 11:18:02.862 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@2fc1e51c
[DEBUG] 2019-10-10 11:18:02.867 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@79b8905
[DEBUG] 2019-10-10 11:18:02.868 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@79b8905
[DEBUG] 2019-10-10 11:18:02.872 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@6f1f6578
[DEBUG] 2019-10-10 11:18:02.872 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@6f1f6578
[DEBUG] 2019-10-10 11:18:02.874 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@44ae8833
[DEBUG] 2019-10-10 11:18:02.874 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@44ae8833
[DEBUG] 2019-10-10 11:18:02.877 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@5b3a8835
[DEBUG] 2019-10-10 11:18:02.877 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@5b3a8835
[DEBUG] 2019-10-10 11:18:02.877 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@5b3a8835
[DEBUG] 2019-10-10 11:18:02.880 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@6fe3ec78
[DEBUG] 2019-10-10 11:18:02.884 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@7e59a239
[DEBUG] 2019-10-10 11:18:02.884 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@7e59a239
[DEBUG] 2019-10-10 11:18:02.884 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@7e59a239
[DEBUG] 2019-10-10 11:18:02.886 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@46fbd501
[DEBUG] 2019-10-10 11:18:02.889 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@40fbf2b7
[DEBUG] 2019-10-10 11:18:02.889 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@40fbf2b7
[DEBUG] 2019-10-10 11:18:02.892 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@760efda5
[DEBUG] 2019-10-10 11:18:02.892 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@760efda5
[DEBUG] 2019-10-10 11:18:02.894 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@3b577954
[DEBUG] 2019-10-10 11:18:02.895 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@3b577954
[DEBUG] 2019-10-10 11:18:02.897 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@5833d698
[DEBUG] 2019-10-10 11:18:02.897 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@5833d698
[DEBUG] 2019-10-10 11:18:02.900 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@582adfea
[DEBUG] 2019-10-10 11:18:02.900 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@582adfea
[DEBUG] 2019-10-10 11:18:02.901 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@2e4b950e
