[DEBUG] 2019-10-10 12:34:06.084 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-10-10 12:34:06.088 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-10-10 12:34:06.096 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-10-10 12:34:06.208 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-10-10 12:34:06.211 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-10-10 12:34:06.466 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-10-10 12:34:06.469 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-10-10 12:34:06.476 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-10-10 12:34:06.930 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-10-10 12:34:06.966 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-10-10 12:34:06.968 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-10-10 12:34:07.007 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-10-10 12:34:07.069 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@fb713e7
[DEBUG] 2019-10-10 12:34:07.069 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@fb713e7
[DEBUG] 2019-10-10 12:34:07.070 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@fb713e7
[DEBUG] 2019-10-10 12:34:07.070 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@5c7668ba
[DEBUG] 2019-10-10 12:34:07.071 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@5aaaa446
[DEBUG] 2019-10-10 12:34:07.072 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@8deb645
[DEBUG] 2019-10-10 12:34:07.073 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1a2909ae
[DEBUG] 2019-10-10 12:34:07.073 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1a2909ae
[DEBUG] 2019-10-10 12:34:07.073 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@1a2909ae
[DEBUG] 2019-10-10 12:34:07.075 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@750ff7d3
[DEBUG] 2019-10-10 12:34:07.075 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@750ff7d3
[DEBUG] 2019-10-10 12:34:07.075 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@750ff7d3
[DEBUG] 2019-10-10 12:34:07.077 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3d37203b
[DEBUG] 2019-10-10 12:34:07.077 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3d37203b
[DEBUG] 2019-10-10 12:34:07.077 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3d37203b
[DEBUG] 2019-10-10 12:34:07.078 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@5527b211
[DEBUG] 2019-10-10 12:34:07.078 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@5527b211
[DEBUG] 2019-10-10 12:34:07.079 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@5527b211
[DEBUG] 2019-10-10 12:34:07.080 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@1c9e07c6
[DEBUG] 2019-10-10 12:34:07.080 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@1c9e07c6
[DEBUG] 2019-10-10 12:34:07.080 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@1c9e07c6
[DEBUG] 2019-10-10 12:34:07.081 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@d0865a3
[DEBUG] 2019-10-10 12:34:07.082 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@d0865a3
[DEBUG] 2019-10-10 12:34:07.082 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@d0865a3
[DEBUG] 2019-10-10 12:34:07.083 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@11a8042c
[DEBUG] 2019-10-10 12:34:07.083 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@11a8042c
[DEBUG] 2019-10-10 12:34:07.083 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@11a8042c
[DEBUG] 2019-10-10 12:34:07.093 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@26b95b0b
[DEBUG] 2019-10-10 12:34:07.093 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@26b95b0b
[DEBUG] 2019-10-10 12:34:07.095 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@5f172d4a
[DEBUG] 2019-10-10 12:34:07.095 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@5f172d4a
[DEBUG] 2019-10-10 12:34:07.096 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@25b52284
[DEBUG] 2019-10-10 12:34:07.097 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@25b52284
[DEBUG] 2019-10-10 12:34:07.097 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@34d4860f
[DEBUG] 2019-10-10 12:34:07.098 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@2016f509
[DEBUG] 2019-10-10 12:34:07.099 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@2123064f
[DEBUG] 2019-10-10 12:34:07.099 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@2123064f
[DEBUG] 2019-10-10 12:34:07.101 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@73fb1d7f
[DEBUG] 2019-10-10 12:34:07.101 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@73fb1d7f
[DEBUG] 2019-10-10 12:34:07.113 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@44b18fe4
[DEBUG] 2019-10-10 12:34:07.113 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@44b18fe4
[DEBUG] 2019-10-10 12:34:07.116 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@49122b8f
[DEBUG] 2019-10-10 12:34:07.116 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@49122b8f
[DEBUG] 2019-10-10 12:34:07.119 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@7cd4a4d7
[DEBUG] 2019-10-10 12:34:07.119 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@7cd4a4d7
[DEBUG] 2019-10-10 12:34:07.121 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@6f3e19b3
[DEBUG] 2019-10-10 12:34:07.121 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@6f3e19b3
[DEBUG] 2019-10-10 12:34:07.123 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@2c7a8af2
[DEBUG] 2019-10-10 12:34:07.124 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@2c7a8af2
[DEBUG] 2019-10-10 12:34:07.126 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@1894e40d
[DEBUG] 2019-10-10 12:34:07.126 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@1894e40d
[DEBUG] 2019-10-10 12:34:07.130 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@36cc9385
